| STT | Tiếng Trung | Pinyin | Nghĩa Tiếng Việt |
| 2363 | 下車 | xiàchē | Xuống xe |
| 2364 | 下來 | xiàlái | Xuống (từ trên xuống dưới) |
| 2365 | 下面 | xiàmiàn | phía dưới; ở dưới; phần dưới |
| 2366 | 險 | xiǎn | hiểm; kinh sợ; kinh hãi; hoảng sợ; kinh; hoảng; sợ |
| 2367 | 響 | xiăng | Hưởng: Tiếng vang; vang lên; kêu |
| 2368 | 香腸 | xiāngcháng | Lạp xưởng |
| 2369 | 相處 | xiāngchǔ | hòa thuận, chung sống |
| 2370 | 相反 | xiāngfǎn | ngược lại, tương phản |
| 2371 | 詳情 | xiángqíng | chi tiết |
| 2372 | 享受 | xiǎngshòu | thưởng thức |
| 2373 | 詳細 | xiángxì | chi tiết |
| 2374 | 響應 | xiǎngyìng | hưởng ứng |
| 2375 | 象徵 | xiàngzhēng | tượng trưng; biểu tượng |
| 2376 | 箱子 | xiāngzi | hòm; rương |
| 2377 | 現金 | xiànjīn | tiền mặt |
| 2378 | 顯露 | xiǎnlù | lộ rõ, hiện rõ |
| 2379 | 顯示 | xiǎnshì | biểu thị, tỏ rõ |
| 2380 | 限制 | xiànzhì | hạn chế, giới hạn |
| 2381 | 曉 | xiǎo | Hiểu (tên người); sáng sớm, hừng sáng |
| 2382 | 笑鬧 | xiào nào | cười ầm lên |
| 2383 | 消除 | xiāochú | trừ khử; loại trừ;loại bỏ |
| 2384 | 消極 | xiāojí | tiêu cực |
| 2385 | 小麥 | xiǎomài | lúa mì |
| 2386 | 小朋友 | xiăopéngyǒu | Tiểu bằng hữu; bạn nhỏ |
| 2387 | 銷售 | xiāoshòu | Doanh thu |
| 2388 | 效益 | xiàoyì | lợi ích |
| 2389 | 西班牙 | xībānyá | Tây ban nha |
| 2390 | 西餐 | xīcān | cơm Tây; cơm Âu |
| 2391 | 寫實 | xiěshí | tả thực |
| 2392 | 寫實主義 | xiěshí zhǔyì | chủ nghĩa hiện thực |
| 2393 | 血型 | xiěxíng | nhóm máu |
| 2394 | 協議 | Xiéyì | hiệp nghĩa |
| 2395 | 喜劇 | xǐjù | hài kịch |
| 2396 | 新潮 | xīncháo | tân trào; trào lưu mới |
| 2397 | 星 | xīng | Tinh: ngôi sao |
| 2398 | 性靈 | xìnglíng | nội tâm; tinh thần |
| 2399 | 姓名 | xìngmíng | Danh tính; họ tên |
| 2400 | 醒目 | xǐngmù | nổi bật, rõ ràng |
| 2401 | 行為 | xíngwéi | Hành vi |
| 2402 | 形象 | xíngxiàng | hình ảnh, hình tượng |
| 2403 | 幸運 | xìngyùn | May mắn |
| 2404 | 性質 | xìngzhì | tính chất |
| 2405 | 心理 | xīnlǐ | tâm lý |
| 2406 | 欣賞 | xīnshǎng | thưởng thức |
| 2407 | 薪水 | xīnshuǐ | lương, thu nhập |
| 2408 | 心態 | xīntài | tâm trạng; tâm thái |
| 2409 | 信箱 | xìnxiāng | thùng thư; hòm thư; hộp thơ |
| 2410 | 信心 | xìnxīn | lòng tin; tin tưởng; tự tin |
| 2411 | 心臟 | xīnzàng | trái tim |
| 2412 | 兄弟 | xiōngdì | huynh đệ; anh em |
| 2413 | 兄妹 | xiōngmèi | huynh muội; anh em |
| 2414 | 犧牲 | xīshēng | hy sinh |
| 2415 | 系統 | xìtǒng | hệ thống |
| 2416 | 秀才 | xiùcái | học giả, tú tài |
| 2417 | 修理 | xiūlǐ | Sửa chữa |
| 2418 | 休閒 | xiūxián | hưu canh; hưu nhàn |
| 2419 | 細心 | xìxīn | cẩn thận |
| 2420 | 西洋情人節 | xīyáng qíngrén jié | ngày lễ tình nhân phương tây |
| 2421 | 西元 | Xīyuán | tây lịch, dương lịch |
| 2422 | 宣傳 | xuānchuán | tuyên truyền |
| 2423 | 選舉 | Xuǎnjǔ | cuộc bầu cử |
| 2424 | 學歷 | xuélì | học bạ, bảng điểm đại học |
| 2425 | 尋 | xún | tìm kiếm |
| 2426 | 循環 | xúnhuán | tuần hoàn |
| 2427 | 巡邏 | xúnluó | tuần tra |
| 2428 | 虛弱 | xūruò | yếu đuối |
| 2429 | 敘述 | xùshù | tự thuật |
| 2430 | 呀 | ya | a; ô (thán từ, biểu thị sự kinh ngạc) |
| 2431 | 牙 | yá | Nha: răng, ngà voi; họ Nha |
| 2432 | 牙齒 | yáchǐ | răng |
| 2433 | 壓力 | yālì | áp lực |
| 2434 | 鹽 | yán | Muối ăn; muối |
| 2435 | 眼閉 | yǎn bì | nhắm mắt |
| 2436 | 樣 | yàng | hình dáng; kiểu dáng; hình thức; mẫu |
| 2437 | 養 | yǎng | dưỡng, nuôi dưỡng |
| 2438 | 羊腸 | yáng cháng | ruột cừu |
| 2439 | 養成 | yǎng chéng | phát triển, dưỡng thành |
| 2440 | 掩蓋 | yǎngài | che phủ, trốn; che giấu |
| 2441 | 陽光 | yángguāng | ánh sáng mặt trời |
| 2442 | 養老中心 | Yǎnglǎo zhōngxīn | Trung tâm dưỡng lão |
| 2443 | 樣品 | yàngpǐn | vật mẫu |
| 2444 | 眼光 | yǎnguāng | tầm nhìn, ánh mắt, quan điểm |
| 2445 | 樣樣 | yàngyàng | ánh sáng mặt trời; ánh nắng |
| 2446 | 楊紫瓊 | yángzǐqióng | Dương Tử Quỳnh |
| 2447 | 演技 | yǎnjì | kĩ năng diễn xuất |
| 2448 | 研究 | yánjiū | Nghiên cứu |
| 2449 | 炎熱 | yánrè | nóng |
| 2450 | 衍生 | yǎnshēng | diễn sinh; hợp chất |
| 2451 | 衍生物 | yǎnshēngwù | hợp chất diễn sinh |
| 2452 | 嚴肅 | yánsù | nghiêm trọng |
| 2453 | 厭惡 | yànwù | chán ghét (đối với sự vật hoặc con người) |
| 2454 | 嚴重 | yánzhòng | nghiêm trọng |
| 2455 | 演奏 | yǎnzòu | diễn tấu |
| 2456 | 遙 | yáo | xa |
| 2457 | 搖醒 | yáo xǐng | gọi dậy, |
| 2458 | 要緊 | yàojǐn | quan trọng; trọng yếu |
| 2459 | 要求 | yāoqiú | Yêu cầu |
| 2460 | 頁 | yè | tờ (chỉ giấy); trang |
| 2461 | 夜 | yè | ban đêm |
| 2462 | 爺孫 | yé sūn | ông cháu |
| 2463 | 業務 | yèwù | nghiệp vụ |
| 2464 | 異 | yì | dị; kỳ quái; khác, khác biệt |
| 2465 | 義大利 | yì dàlì | Nước Ý |
| 2466 | 一百分 | yībǎi fēn | một trăm phần trăm |
| 2467 | 一輩子 | yībèizi | một đời người |
| 2468 | 一旦 | yīdàn | một ngày |
| 2469 | 移動 | yídòng | di chuyển |
| 2470 | 疑惑 | yíhuò | nghi hoặc; nghi ngờ; ngờ vực; không tin |
| 2471 | 以及 | yǐjí | và; cùng |
| 2472 | 一塊 | yíkuài | Cùng nơi, cùng nhau; cùng một chỗ |
| 2473 | 遺留 | yíliú | Di sản, để lại, truyền lại, còn sót lại |
| 2474 | 疑慮 | Yílǜ | nghi ngờ |
| 2475 | 陰陽 | yīn yáng | âm dương |
| 2476 | 贏 | yíng | thắng |
| 2477 | 硬體 | yìng tǐ | Phần cứng |
| 2478 | 嬰兒 | yīng'ér | Đứa bé |
| 2479 | 應付 | yìngfù | ứng phó |
| 2480 | 螢幕 | yíngmù | màn hình |
| 2481 | 英雄 | yīngxióng | anh hùng |
| 2482 | 英勇 | yīngyǒng | anh dũng |
| 2483 | 應徵 | yìngzhēng | đồng ý; chấp nhận; đáp ứng |
| 2484 | 音節 | yīnjié | âm tiết |
| 2485 | 引起 | yǐnqǐ | gây nên; dẫn tới; gợi ra |
| 2486 | 因素 | yīnsù | nhân tố |
| 2487 | 印象 | yìnxiàng | ấn tượng |
| 2488 | 一切 | yīqiè | mọi thứ, tất cả; hết thảy |
| 2489 | 儀容 | yíróng | dung nhan, dung mạo |
| 2490 | 遺失 | Yíshī | mất; đánh rơi, rơi mất |
| 2491 | 藝術 | yìshù | Nghệ thuật |
| 2492 | 一下子 | yíxiàzi | đột nhiên, đột ngột, |
| 2493 | 異樣 | yìyàng | dị dạng |
| 2494 | 意志力 | yìzhì lì | ý chí |
| 2495 | 用功 | yònggōng | cố gắng; chăm chỉ; cặm cụi; chịu khó (học tập) |
| 2496 | 永久 | yǒngjiǔ | Vĩnh viễn |
| 2497 | 勇氣 | yǒngqì | dũng khí |
| 2498 | 擁有 | yǒngyǒu | có |
| 2499 | 有空 | yǒu kòng | có thời gian rảnh, |
| 2500 | 優點 | yōudiǎn | ưu điểm |
| 2501 | 優惠 | yōuhuì | ưu đãi |
| 2502 | 有名 | yǒumíng | có tiếng; nổi tiếng |
| 2503 | 幽默 | yōumò | hài hước, dí dỏm |
| 2504 | 有錢 | yǒuqián | Có tiền |
| 2505 | 憂傷 | yōushāng | buồn |
| 2506 | 優勢 | yōushì | Lợi thế |
| 2507 | 右手 | yòushǒu | tay phải; bên phải; cánh tay phải (ví von) |
| 2508 | 憂心 | yōuxīn | lo lắng |
| 2509 | 優雅 | yōuyǎ | duyên dáng |
| 2510 | 有一點 | yǒuyìdiăn | Có một chút |
| 2511 | 由於 | yóuyú | bởi vì |
| 2512 | 猶豫 | yóuyù | do dự |
| 2513 | 憂鬱 | yōuyù | u sầu |
| 2514 | 幼稚 | yòuzhì | trẻ trâu, ngây thơ; còn nhỏ |
| 2515 | 語速 | yǔ sù | Tốc độ nói |
| 2516 | 元旦 | yuándàn | Năm mới, nguyên đán |
| 2517 | 原諒 | yuánliàng | Tha thứ, lượng thứ |
| 2518 | 冤枉 | yuānwǎng | bị oan; chịu oan |
| 2519 | 原子 | yuánzǐ | nguyên tử |
| 2520 | 院子 | yuànzi | sân; sân nhỏ; sân trong |
| 2521 | 預備 | yùbèi | Dự bị, chuẩn bị |
| 2522 | 語調 | yǔdiào | âm điệu |
| 2523 | 約會 | Yuēhuì | Hẹn hò |
| 2524 | 月亮 | yuèliàng | ánh trăng; |
| 2525 | 樂曲 | yuèqǔ | ác phẩm âm nhạc; bản nhạc; nhạc khúc |
| 2526 | 預防 | yùfáng | Phòng ngừa |
| 2527 | 娛樂 | yúlè | tiêu khiển, giải trí, vui chơi |
| 2528 | 玉米 | yùmǐ | Ngọc mễ: Ngô |
| 2529 | 運動器 | yùndòng qì | máy tập thể thao |
| 2530 | 運動員 | yùndòngyuán | vận động viên |
| 2531 | 運送 | yùnsòng | vận chuyển; chuyên chở; chở |
| 2532 | 預期 | yùqí | dự định thời gian |
| 2533 | 語氣 | yǔqì | khẩu khí |
| 2534 | 預習 | yùxí | Chuẩn bị bài |
| 2535 | 宇宙 | yǔzhòu | vũ trụ |
| 2536 | 災害 | zāihài | thảm họa, tai hại |
| 2537 | 災民 | zāimín | nạn nhân thiên tai |
| 2538 | 災難 | zāinàn | tai nạn |
| 2539 | 葬 | zàng | Mai táng |
| 2540 | 讚美 | Zànměi | ca ngợi; ca tụng; khen ngợi |
| 2541 | 贊同 | zàntóng | tán thành; đồng ý |
| 2542 | 早安 | zăoān | Chào buổi sáng; chúc buổi sáng tốt lành |
| 2543 | 早出晚歸 | zǎochū wǎn guī | đi sớm về muộn |
| 2544 | 糟糕 | zāogāo | hỏng; hỏng bét; gay go |
| 2545 | 噪音 | zàoyīn | tạp âm |
| 2546 | 遭遇 | zāoyù | gặp; gặp phải |
| 2547 | 擇善 | zé shàn | chọn tốt |
| 2548 | 贈送 | zèngsòng | biếu; tặng |
| 2549 | 增添 | zēngtiān | ăng; thêm; tăng thêm |
| 2550 | 怎樣 | zěnyàng | thế nào; ra sao |
| 2551 | 宅 | zhái | Căn nhà, nơi ở |
| 2552 | 摘 | zhāi | hái; bẻ; ngắt; lấy |
| 2553 | 漲 | zhǎng | tăng lên |
| 2554 | 障礙 | zhàngài | trở ngại |
| 2555 | 長輩 | zhǎngbèi | trưởng bối |
| 2556 | 長大 | zhăngdà | cao lớn, to lớn, trưởng thành |
| 2557 | 丈夫 | zhàngfū | chồng, phu quân |
| 2558 | 掌聲 | zhǎngshēng | vỗ tay |
| 2559 | 戰國 | zhànguó | chiến quốc |
| 2560 | 掌握 | zhǎngwò | nắm chắc; nắm vững; hiểu rõ |
| 2561 | 暫時 | zhànshí | tạm thời |
| 2562 | 找錢 | zhăoqián | Kiếm tiền |
| 2563 | 遮擋 | zhēdǎng | che; ngăn che |
| 2564 | 折扣 | zhékòu | Giảm giá |
| 2565 | 陣 | zhèn | trận; cơn (lượng từ) |
| 2566 | 診 | zhěn | chẩn đoán |
| 2567 | 正 | zhèng | Chính: tháng giêng; tháng 1; chính; ngay ngắn |
| 2568 | 爭非 | zhēng fēi | tranh luận |
| 2569 | 爭搶 | zhēng qiǎng | tranh cướp |
| 2570 | 政策 | zhèngcè | chính sách |
| 2571 | 正常 | zhèngcháng | bình thường; như thường |
| 2572 | 爭吵 | zhēngchǎo | tranh cãi; cãi nhau; cãi lộn |
| 2573 | 爭奪 | zhēngduó | tranh đoạt; tranh giành; giành giật |
| 2574 | 政府 | zhèngfǔ | chính phủ |
| 2575 | 證據 | zhèngjù | chứng cớ |
| 2576 | 政論 | zhènglùn | lý luận chính trị |
| 2577 | 證明 | zhèngmíng | chứng minh |
| 2578 | 整齊 | zhěngqí | ngăn nắp; chỉnh tề |
| 2579 | 徵求 | zhēngqiú | tìm kiếm |
| 2580 | 爭取 | zhēngqǔ | tranh thủ, ra sức thực hiện |
| 2581 | 正確 | zhèngquè | chính xác; đúng đắn。 |
| 2582 | 珍貴 | zhēnguì | quý giá, trân quý |
| 2583 | 症狀 | zhèngzhuàng | triệu chứng |
| 2584 | 真正 | zhēnzhèng | chân chính; thật sự; chân chính; thật sự |
| 2585 | 直 | zhí | thẳng; thẳng đứng |
| 2586 | 稚 | zhì | vị thành niên |
| 2587 | 指 | zhǐ | CHỈ: ngón tay; hướng về; chỉ về |
| 2588 | 志力 | zhì lì | trí lực |
| 2589 | 紙幣 | zhǐbì | tiền giấy |
| 2590 | 支撐 | zhīchēng | ủng hộ |
| 2591 | 值得 | zhídé | đáng giá |
| 2592 | 治療 | zhìliáo | trị liệu |
| 2593 | 至少 | zhìshǎo | Ít nhất |
| 2594 | 製藥 | zhìyào | dược phẩm; chế phẩm |
| 2595 | 只要 | zhǐyào | chỉ cần; miễn là |
| 2596 | 至於 | zhìyú | Đối với |
| 2597 | 製造 | zhìzào | sản xuất |
| 2598 | 製作 | zhìzuò | chế tạo; chế ra; làm ra |
| 2599 | 鐘 | zhōng | chuông; |
| 2600 | 中 | zhōng | Trung; ở giữa; |
| 2601 | 中餐 | zhōngcān | cơm Tàu; món ăn Trung Quốc; cơm kiểu TQ |
| 2602 | 中飯 | zhōngfàn | cơm Tàu; món ăn Trung Quốc; cơm kiểu TQ |
| 2603 | 終於 | zhōngyú | Cuối cùng |
| 2604 | 抓住 | zhuā zhù | nắm lấy |
| 2605 | 轉變 | zhuǎnbiàn | thay đổi, chuyển biến |
| 2606 | 裝扮 | zhuāngbàn | hoá trang; cải trang; giả dạng |
| 2607 | 撞擊 | zhuàngjí | đụng; va chạm; va đập |
| 2608 | 狀況 | zhuàngkuàng | tình huống |
| 2609 | 傳記 | Zhuànjì | tiểu sử， truyện kí |
| 2610 | 專家 | zhuānjiā | chuyên gia |
| 2611 | 專人 | zhuānrén | truyền nhân |
| 2612 | 墜入 | zhuì rù | rơi vào |
| 2613 | 追殺 | zhuī shā | truy sát |
| 2614 | 追尋 | zhuīxún | tìm kiếm |
| 2615 | 逐漸 | zhújiàn | dần dần, từng bước |
| 2616 | 主角 | zhǔjiǎo | nhân vật chính |
| 2617 | 茁壯 | zhuózhuàng | khoẻ; chắc nịch; mập mạp |
| 2618 | 主人 | Zhǔrén | Người sở hữu, chủ nhân |
| 2619 | 主任 | zhŭrèn | Chủ nhiệm; trưởng phòng; giám đốc |
| 2620 | 主要 | zhŭyào | Chủ yếu |
| 2621 | 主義 | zhǔyì | chủ nghĩa |
| 2622 | 主意 | zhŭyì | Chủ ý, chủ kiến; chủ định |
| 2623 | 資產 | zīchǎn | tài sản, của cải |
| 2624 | 自從 | zìcóng | từ; từ khi; từ lúc |
| 2625 | 資料 | zīliào | tư liệu, tài liệu, hồ sơ |
| 2626 | 自滿 | zìmǎn | tự mãn |
| 2627 | 仔細 | zǐxì | cẩn thận |
| 2628 | 自省 | zìxǐng | tự xét lại; tự suy ngẫm |
| 2629 | 自行車 | zìxíngchē | xe đạp |
| 2630 | 資訊 | zīxùn | Thông tin |
| 2631 | 自在 | zìzài | tự tại |
| 2632 | 總量 | zǒng liàng | Tổng lượng |
| 2633 | 綜合 | zònghé | toàn diện |
| 2634 | 綜合維他命 | zònghé wéitāmìng | vitamin tổng hợp |
| 2635 | 宗教 | zōngjiào | tôn giáo |
| 2636 | 總務處 | zǒngwù chù | Phòng tổng hợp |
| 2637 | 阻礙 | zǔ ài | ngăn cản; ngăn trở; cản trở |
| 2638 | 鑽石 | zuànshí | kim cương |
| 2639 | 組成 | zǔchéng | cấu thành; tạo thành; hợp thành; thành lập |
| 2640 | 祖父 | zǔfù | tổ phụ |
| 2641 | 嘴 | zuǐ | Miệng |
| 2642 | 最佳 | zuì jiā | tối ưu, điều kiện tốt nhất; điều kiện thuận lợi nhất |
| 2643 | 罪受 | zuì shòu | đau khổ |
| 2644 | 最好 | zuìhăo | Tốt nhất |
| 2645 | 尊重 | zūnzhòng | tôn trọng |
| 2646 | 昨晚 | Zuó wǎn | tối hôm qua |
| 2647 | 做飯 | zuòfàn | làm cơm; nấu cơm; nấu ăn。 |
| 2648 | 做事 | zuòshì | làm việc; công tác |
| 2649 | 左手 | zuǒshǒu | Tay trái; phía tay trái; phía bên trái |
| 2650 | 左右 | zuǒyòu | tả hữu; trái phải |
| 2651 | 作者 | Zuòzhě | tác giả |
| 2652 | 唉 | āi | ôi; than ôi; chao ôi; trời ơi |
| 2653 | 愛好 | àihào | ưa thích; ưa chuộng; |
| 2654 | 愛護 | àihù | bảo vệ; gìn giữ; yêu quý; quý trọng; trân trọng |
| 2655 | 愛情 | àiqíng | ái tình; tình yêu |
| 2656 | 愛人 | àirén | người yêu |
| 2657 | 愛惜 | àixí | yêu quý; quý; trọng; yêu dấu |
| 2658 | 愛心 | àixīn | ái tâm |
| 2659 | 哎呀 | āiya | ô kìa; ơ kìa; ái chà; chao; ôi chao |
| 2660 | 哎喲 | àiyāo | ôi; ôi chao; chao ôi; ấy chết; oái; úi; chà chà; ô hô |
| 2661 | 暗 | àn | tối; tối tăm; tối mò; mù mịt; u ám |
| 2662 | 安定 | āndìng | yên ổn; ổn định; yên bình; êm ả; yên tĩnh; an bình |
| 2663 | 骯髒 | āngzhāng | dơ; bẩn; dơ dáy; cáu bẩn; bẩn thỉu |
| 2664 | 按時 | ànshí | đúng hạn |
| 2665 | 安慰 | ānwèi | an ủi; xoa dịu; dỗ dành |
| 2666 | 安心 | ānxīn | yên tâm |
| 2667 | 暗中 | ànzhōng | ngầm; lén lút; lén; sau lưng; bí mật; kín đáo |
| 2668 | 熬 | áo | sắc; rang; sấy; sao |
| 2669 | 拔 | bá | nhổ; rút; tuốt; loại bỏ |
| 2670 | 敗 | bài | bại, thua, thất bại |
| 2671 | 拜 | bài | bái, thờ; cung kính kết giao |
| 2672 | 擺 | băi | xếp đặt; đặt; bày; bày biện; bố trí |
| 2673 | 拜訪 | bàifăng | thăm viếng, thăm hỏi, kính thăm |
| 2674 | 拜年 | bàinián | chúc tết; mừng năm mới; đi chúc tết |
| 2675 | 拜託 | bàituō | kính nhờ, nhờ cậy |
| 2676 | 罷了 | bàle | mà thôi, thôi mà, miễn |
| 2677 | 拌 | bàn | trộn; trộn lẫn; pha lẫn; hoà lẫn |
| 2678 | 般 | bān | loại; kiểu; cách; hạng; thứ |
| 2679 | 磅 | bàng | cân bàn; bàn cân; bảng (đvị đo của anh) |
| 2680 | 辦公 | bàngōng | làm việc công; xử lý |
| 2681 | 傍晚 | bāngwăn | chạng vạng; gần tối; nhá nhem tối; sẩm tối |
| 2682 | 棒子 | bàngzi | cây gậy |
| 2683 | 班機 | bānjī | Phi cơ chuyến |
| 2684 | 辦理 | bànlǐ | xử lý, giải quyết cv |
| 2685 | 半路 | bànlù | nửa đường; giữa đường |
| 2686 | 辦事 | bànshì | làm việc, phục vụ |
| 2687 | 半數 | bànshù | một nửa |
| 2688 | 搬運 | bānyùn | vận chuyển, vận tải, chuyên chở |
| 2689 | 班長 | bānzhăng | lớp trưởng |
| 2690 | 保 | băo | Bảo: họ bảo; Bảo vệ, gìn giữ |
| 2691 | 寶貝 | bàobèi | Bảo bối |
| 2692 | 報仇 | bàochóu | báo thù |
| 2693 | 暴力 | bàolì | bạo lực |
| 2694 | 保留 | băoliú | Bảo lưu, bảo tồn |
| 2695 | 報名 | bàomíng | đăng ký; ghi tên; đăng ký tham gia |
| 2696 | 保守 | băoshǒu | bảo thủ; giữ ; tuân theo |
| 2697 | 保衛 | băowèi | bảo vệ; ủng hộ; bênh vực |
| 2698 | 保險 | băoxiăn | Bảo hiểm |
| 2699 | 保養 | băoyăng | Bảo dưỡng: điều dưỡng, chăm sóc |
| 2700 | 暴躁 | bàozào | nóng nảy, hấp tấp, bộp chộp |
| 2701 | 爆炸 | bàozhà | nổ; làm nổ tung |
| 2702 | 保證 | băozhèng | cam đoan; bảo đảm; bảo lãnh |
| 2703 | 包裝 | bāozhuāng | đóng gói; gói hàng; vô chai; đóng kiện; bọc |
| 2704 | 把握 | băwò | nắm bắt; nắm |
| 2705 | 備 | bèi | bị, chuẩn bị, |
| 2706 | 倍 | bèi | Bội: lần, gấp bội |
| 2707 | 背包 | bèibāo | ba lô; túi đeo; ba lô đeo vai |
| 2708 | 北部 | běibù | Bắc bộ |
| 2709 | 被動 | bèidòng | bị động |
| 2710 | 北方 | běifāng | Phương bắc |
| 2711 | 背景 | bèijǐng | Bối cảnh |
| 2712 | 悲劇 | bēijù | bi kịch |
| 2713 | 背面 | bèimiàn | mặt trái; lưng; mặt sau |
| 2714 | 輩子 | bèizi | cuộc đời; đời。 |
| 2715 | 本領 | běnlǐng | bản lĩnh |
| 2716 | 奔跑 | bēnpăo | chạy băng băng; chạy nhanh |
| 2717 | 本土 | běntŭ | quê hương; bản thổ; nơi sinh trưởng |
| 2718 | 笨重 | bènzhòng | cồng kềnh; thô nặng; nặng nề cồng kềnh |
| 2719 | 閉 | bì | họ Bế; đóng, khép |
| 2720 | 逼 | bī | Bức; dồn ép; bức bách; uy hiếp; đe doạ |
| 2721 | 便 | biàn | Tiện, tiện lợi, thuận tiện |
| 2722 | 扁 | biăn | dẹt; bẹt; bẹp; dẹp |
| 2723 | 編 | biān | bện; đan; tết; thắt |
| 2724 | 變動 | biàndòng | biến động; thay đổi; biến đổi |
| 2725 | 變更 | biàngēng | thay đổi; cải biến; đổi thay; biến động; biến đổi |
| 2726 | 鞭炮 | biānpào | bánh pháo |
| 2727 | 便條 | biàntiáo | giấy nhắn tin, giấy ghi chú |
| 2728 | 表達 | biăodá | Biểu đạt |
| 2729 | 表弟 | biăodì | em trai họ ngoại |
| 2730 | 表格 | biăogé | bảng biểu; bản kê; bản khai |
| 2731 | 表哥 | biăogē | anh họ ngoại |
| 2732 | 表妹 | biăomèi | em gái họ ngoại |
| 2733 | 表面 | biăomiàn | Biểu diện; bề ngoài, mặt ngoài |
| 2734 | 標題 | biāotí | đầu đề; tiêu đề; tít; tựa |
| 2735 | 標誌 | biāozhì | ký hiệu; cột mốc |
| 2736 | 筆記 | bǐjì | ghi chép |
| 2737 | 並 | bìng | hợp lại; nhập lại; gộp lại; chập lại; ghép lại |
| 2738 | 丙 | bǐng | Lửa; bính; 3; C. (Ngôi thứ ba trong thiên can) |
| 2739 | 並且 | bìngqiě | đồng thời; và; hơn nữa |
| 2740 | 比如說 | bǐrúshuō | Chẳng hạn, ví dụ như |
| 2741 | 必要 | bìyào | cần thiết; thiết yếu; không thể thiếu |
| 2742 | 薄 | bó | mỏng |
| 2743 | 播 | bò | truyền bá; phát; phổ biến; lan truyền。 |
| 2744 | 撥 | bō | đẩy; ẩy; gẩy; quạt; gạt; vén |
| 2745 | 伯父 | bófù | bác trai (anh của cha) |
| 2746 | 伯母 | bómŭ | bác gái。 |
| 2747 | 薄弱 | bóruò | bạc nhược; thất bại |
| 2748 | 脖子 | bózi | cái cổ |
| 2749 | 步 | bù | Bộ: Bước, bước chân, mức độ |
| 2750 | 捕 | bŭ | bắt; đánh; vồ; tóm |
| 2751 | 不安 | bùān | bất an |
| 2752 | 補償 | bŭcháng | bồi thường; đền bù |
| 2753 | 不成 | bùchéng | bất thành |
| 2754 | 補充 | bŭchōng | bổ sung |
| 2755 | 不大 | búdà | Vừa phải, chừng mực, điều độ |
| 2756 | 不當 | búdàng | không thích đáng |
| 2757 | 不到 | búdào | Không đến, ít hơn; không chu đáo |
| 2758 | 不得已 | bùdéyǐ | bất đắc dĩ |
| 2759 | 部隊 | bùduì | bộ đội, lính |
| 2760 | 不敢當 | bùgăndāng | Không dám |
| 2761 | 佈告 | bùgào | Bố cáo, bản thông báo |
| 2762 | 佈告欄 | bùgàolán | bảng thông báo; yết thị |
| 2763 | 不顧 | búgù | bất cần, ko quan tâm |
| 2764 | 不合 | bùhé | Không hợp, không nên; bất hòa |
| 2765 | 不見得 | bújiàndé | chưa chắc; không chắc |
| 2766 | 不僅 | bùjǐn | không chỉ; không phải chỉ thế |
| 2767 | 補課 | bŭkè | học bù; dạy bù |
| 2768 | 不利 | búlì | bất lợi |
| 2769 | 不良 | búliàng | bất lương |
| 2770 | 不論 | búlùn | bất luận |
| 2771 | 不滿 | bùmăn | bất mãn, không đầy |
| 2772 | 部門 | bùmén | Bộ môn; |
| 2773 | 不平 | bùpíng | bất bình, không công bằng |
| 2774 | 不然 | bùrán | không phải, không phải vậy |
| 2775 | 補習 | bùxí | Bổ túc, bù đắp; học bổ sung |
| 2776 | 不幸 | búxìng | bất hạnh |
| 2777 | 不許 | bùxŭ | không được phéo |
| 2778 | 不宜 | bùyí | không hợp, ko vừa sức |
| 2779 | 不用說 | búyòngshu | không cần nói |
| 2780 | 不由得 | bùyóude | không được, đành phải |
| 2781 | 不再 | búzài | không còn |
| 2782 | 部長 | bùzhăng | Bộ trưởng, thủ lĩnh |
| 2783 | 佈置 | bùzhì | sắp xếp, xếp đặt |
| 2784 | 不只 | bùzhǐ | Không chỉ, không những |
| 2785 | 補助 | bŭzhù | trợ cấp; giúp đỡ |
| 2786 | 不准 | bùzhǔn | không chuẩn; không cho phép |
| 2787 | 踩 | căi | giẫm; dận; đạp; cà; chà; đứng |
| 2788 | 採購 | căigòu | mua sắm; chọn mua |
| 2789 | 裁判 | cáipàn | trọng tài |
| 2790 | 蠶 | cán | tằm, tơ tằm |
| 2791 | 慘 | căn | thảm; bi thảm |
| 2792 | 藏 | cáng | giấu; ẩn núp; trốn; ẩn náu; ẩn tàng |
| 2793 | 倉庫 | cāngkù | Kho, nhà kho |
| 2794 | 慚愧 | cánkuì | xấu hổ, hổ thẹn |
| 2795 | 冊 | cè | sách, sổ, quyển tập |
| 2796 | 測量 | cèliáng | đo lường; trắc lượng; đo; đo đạc |
| 2797 | 曾 | céng | từng; đã từng |
| 2798 | 曾經 | céngjīng | đã từng; từng |
| 2799 | 插 | chā | cắm vào; chọc vào; xuyên vào; cấy |
| 2800 | 差別 | chābié | khác biệt; sai lệch; chênh lệch; sai khác |
| 2801 | 差錯 | chācuò | sai lầm; nhầm lẫn |
| 2802 | 茶館 | cháguăn | Quán trà, tiệm trà |
| 2803 | 插花 | chāhuā | xen; trồng xen |
| 2804 | 茶會 | cháhuì | Tiệc trà, hội trà |
| 2805 | 拆 | chāi | mở ra; dỡ ra; bóc; tháo; gỡ ra |
| 2806 | 差距 | chājù | chênh lệch; khoảng cách; chỗ thua kém |
